id,sentiment,airline,tweetedby,text,tweet_id,tweet_location
681448150,0,1,cairdin,@VirginAmerica What @dhepburn said.,5.70E+17,
681448153,1,1,jnardino,@VirginAmerica plus you've added commercials to the experience... tacky.,5.70E+17,
681448156,0,1,yvonnalynn,@VirginAmerica I didn't today... Must mean I need to take another trip!,5.70E+17,Lets Play
681448158,-1,1,jnardino,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",5.70E+17,
681448159,-1,1,jnardino,@VirginAmerica and it's a really big bad thing about it,5.70E+17,
681448162,-1,1,jnardino,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",5.70E+17,
681448165,1,1,cjmcginnis,"@VirginAmerica yes, nearly every time I fly VX this â€œear wormâ€ù wonâ€™t go away :)",5.70E+17,San Francisco CA
681448167,0,1,pilot,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",5.70E+17,Los Angeles
681448169,1,1,dhepburn,"@virginamerica Well, I didn'tâ€_but NOW I DO! :-D",5.70E+17,San Diego
681448171,1,1,YupitsTate,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",5.70E+17,Los Angeles
681448174,0,1,idk_but_youtube,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,5.70E+17,1/1 loner squad
681448176,1,1,HyperCamiLax,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,5.70E+17,NYC
681448178,1,1,HyperCamiLax,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,5.70E+17,NYC
681448181,1,1,mollanderson,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,5.70E+17,
681448182,1,1,sjespers,@VirginAmerica Thanks!,5.70E+17,"San Francisco, CA"
681448184,-1,1,smartwatermelon,@VirginAmerica SFO-PDX schedule is still MIA.,5.70E+17,"palo alto, ca"
681448186,1,1,ItzBrianHunty,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,5.70E+17,west covina
681448188,-1,1,heatherovieda,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,5.70E+17,this place called NYC
681448190,1,1,thebrandiray,I âù_ï¸è flying @VirginAmerica. â˜ºï¸è_Ÿ‘ç,5.70E+17,Somewhere celebrating life. 
681448192,1,1,JNLpierce,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,5.70E+17,Boston | Waltham
681448194,-1,1,MISSGJ,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,5.70E+17,
681448197,1,1,DT_Les,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,5.70E+17,
681448199,1,1,ElvinaBeck,@VirginAmerica I love the hipster innovation. You are a feel good brand.,5.70E+17,Los Angeles
681448201,0,1,rjlynch21086,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,5.70E+17,"Boston, MA "
681448204,-1,1,ayeevickiee,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _Ÿ˜¡ I want free internet,5.70E+17,714
681448206,-1,1,Leora13,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,5.70E+17,
681448208,-1,1,meredithjlynn,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,5.70E+17,
681448211,0,1,AdamSinger,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,5.70E+17,"San Francisco, CA"
681448213,-1,1,blackjackpro911,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,5.70E+17,"San Mateo, CA & Las Vegas, NV"
681448214,0,1,TenantsUpstairs,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,5.70E+17,Brooklyn
681448218,-1,1,jordanpichler,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _Ÿ˜¢",5.70E+17,
681448221,0,1,JCervantezzz,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,5.70E+17,"California, San Francisco"
681448223,-1,1,Cuschoolie1,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",5.70E+17,Washington DC
681448225,-1,1,amanduhmccarty,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",5.70E+17,
